Ref,Val,Package,PosX,PosY,Rot,Side
"C1","300u","C_0603_1608Metric",145.415000,-132.080000,90.000000,top
"C2","470n","C_0603_1608Metric",127.000000,-106.680000,-90.000000,top
"C3","470n","C_0603_1608Metric",132.080000,-106.680000,-90.000000,top
"C4","10u","C_0603_1608Metric",134.620000,-106.680000,-90.000000,top
"C5","10u","C_0603_1608Metric",137.250000,-102.000000,0.000000,top
"C6","470n","C_0603_1608Metric",137.250000,-103.750000,0.000000,top
"J1","UPDI Programming","PinHeader_1x03_P2.54mm_Vertical",132.920000,-84.400000,90.000000,top
"J2","BUS POGO","PinHeader_1x04_P2.54mm_Vertical",123.825000,-105.410000,0.000000,top
"J3","Stepper Connector","JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical",131.025000,-122.000000,-90.000000,top
"J4","Hall Effect","PinHeader_1x03_P2.54mm_Vertical",124.600000,-89.660000,0.000000,top
"R1","0R","R_0805_2012Metric",129.540000,-106.680000,90.000000,top
"U1","ATtiny1616-MNR","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm",135.680000,-91.650000,0.000000,top
"U2","ULN2003ADR","SOIC-16W_5.3x10.2mm_P1.27mm",144.500000,-121.250000,180.000000,top
"U3","SN65HVD72DR","SOIC-8_5.3x6.2mm_P1.27mm",132.715000,-112.395000,180.000000,top
"U5","SPX3819M5-L-3-3","SOT-23-5",133.362500,-102.800000,0.000000,top
