"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Hall Effect";;;
2;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"UPDI Programming";;;
3;"J2";"PinHeader_1x04_P2.54mm_Vertical";1;"BUS POGO";;;
4;"C4,C5";"C_0603_1608Metric";2;"10u";;;
5;"U5";"SOT-23-5";1;"SPX3819M5-L-3-3";;;
6;"C2,C3,C6";"C_0603_1608Metric";3;"470n";;;
7;"U3";"SOIC-8_5.3x6.2mm_P1.27mm";1;"SN65HVD72DR";;;
8;"C1";"C_0603_1608Metric";1;"300u";;;
9;"J3";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";1;"Stepper Connector";;;
10;"R1";"R_0805_2012Metric";1;"0R";;;
11;"U2";"SOIC-16W_5.3x10.2mm_P1.27mm";1;"ULN2003ADR";;;
12;"U1";"VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm";1;"ATtiny1616-MNR";;;
